district,year,drinking_risk,anomaly_score,ph,tds,co3,hco3,cl,f,no3,so4,na,k,ca,mg,th
Jogulamba(Gadwal),2020,High,-0.23961415028872457,7.59,6079.36,0.0,500.0,2480,0.74,119.583,216.0,732.0,4.7,640.0,457.028,3479.226974
Nalgonda,2018,High,-0.19060896561645446,7.47,3104.0,0.0,582.3434453,950,1.01,420.755,134.0,366.6563255,197.5,184.0,228.514,1399.613487
Nalgonda,2020,High,-0.18423626454412612,7.32,3832.32,0.0,390.0,1630,1.83,5.13764,157.0,730.5,7.7,1.2,311.168,1282.473684
Nalgonda,2018,High,-0.18328310117850388,9.21,2208.0,60.0,970.5889634,370,3.76,134.6416,45.0,696.9715615,52.5,24.0,24.31,159.9588816
Rangareddy,2018,High,-0.18133495434026603,7.56,3110.4,0.0,556.1109258,1050,1.72,44.29,320.0,161.7915062,2.3,488.0,213.928,2099.638158
Rangareddy,2020,High,-0.17245469807880331,8.03,2890.24,0.0,440.0,610,1.04,1028.0,111.25,336.6,354.6,264.0,111.826,1119.810855
Rangareddy,2019,High,-0.16422314044918196,8.48,3558.4,30.0,1050.0,1060,1.12,45.1758,124.0,1051.0,21.4,88.0,87.516,579.8519737
Warangal (R),2019,High,-0.1549667161956414,8.26,2360.96,0.0,370.0,680,0.51,307.2115455,413.0,547.0,221.0,72.0,92.378,559.84375
Nagarkurnool,2020,High,-0.14898627703772138,7.2,3492.48,0.0,530.0,1170,0.39,372.036,81.0,742.0,41.0,272.0,48.62,879.9177632
Khammam,2020,High,-0.14676490600212044,9.04,1673.6,50.0,850.0,170,7.7,59.7915,83.0,560.0,6.5,16.0,4.862,59.99177632
Warangal (R),2018,High,-0.1427416548813757,8.29,2440.96,0.0,340.0,630,0.42,287.2810455,453.0,426.0,132.0,112.0,136.136,839.7697368
Medchal,2020,High,-0.14189951334104633,7.18,2972.16,0.0,310.0,1000,1.3,528.8226,50.0,148.0,5.4,592.0,97.24,1879.835526
Suryapet,2020,High,-0.14038435761909407,7.04,3191.04,0.0,430.0,1270,0.476,165.2017,110.0,464.2,55.2,384.0,116.688,1439.802632
Rangareddy,2019,High,-0.138385878879004,7.9,3526.4,0.0,1050.0,1110,1.84,159.444,45.0,1099.0,29.2,40.0,77.792,419.8684211
Narayanpet,2019,High,-0.12482928177618069,7.5,2784.0,0.0,250.0,870,0.53,643.9766,61.25,283.5,6.9,384.0,116.688,1439.802632
Yadadri,2018,High,-0.12264338029740118,7.27,3481.6,0.0,438.3062545,1500,0.78,167.19475,43.0,597.8544632,6.0,424.0,92.378,1439.84375
Narayanpet,2020,High,-0.11910116669623094,7.78,2933.76,0.0,220.0,990,0.42,520.8504,104.0,391.4,12.3,360.0,111.826,1359.810855
Bhadradri,2020,High,-0.11814698291224501,8.48,2777.6,20.0,800.0,790,1.21,210.20034,46.0,748.1,12.1,8.0,131.274,559.7779605
Nizamabad,2020,High,-0.11589099541251813,7.32,2753.92,0.0,520.0,1060,0.84,69.5353,32.5,208.0,6.2,232.0,262.548,1659.555921
Kamareddy,2018,High,-0.11486426929922033,7.32,2297.6,0.0,552.000145,720,2.98,143.9425,90.0,409.1738344,190.5,112.0,97.24,679.8355263
Warangal (R),2020,High,-0.1136553859771472,8.26,2585.6,0.0,460.0,830,0.18,367.607,112.75,312.0,11.0,112.0,262.548,1359.555921
Mahabubnagar,2020,High,-0.10501479375178091,8.4,2042.88,30.0,440.0,430,1.85,469.0311,65.0,406.0,106.0,88.0,82.654,559.8601974
Yadadri,2020,High,-0.10350540308609879,7.76,3233.92,0.0,280.0,1360,0.44,76.35596,109.0,465.2,3.3,400.0,92.378,1379.84375
Mancherial,2018,High,-0.10313133086919724,8.43,1781.12,50.0,320.0,540,0.92,3.019772727,327.0,576.0,4.0,16.0,43.758,219.9259868
Rangareddy,2020,High,-0.10123867743280102,7.79,2513.92,0.0,440.0,860,1.44,19.4876,178.25,159.6,10.9,392.0,150.722,1599.745066
Adilabad,2019,High,-0.09966321585282745,8.32,1507.2,30.0,320.0,340,0.64,66.435,377.0,273.0,113.0,80.0,82.654,539.8601974
Nalgonda,2018,High,-0.09754097969395048,8.88,1091.2,60.0,617.5004009,20,4.56,143.0567,22.0,375.8479706,3.1,8.0,5.0,40.0
Nagarkurnool,2018,High,-0.09275411540141643,7.18,2387.2,0.0,390.8383193,620,0.881,664.35,43.75,218.9643425,6.2,280.0,170.17,1399.712171
Nizamabad,2020,High,-0.09270192632165486,7.31,2598.4,0.0,420.0,430,0.98,79.722,860.0,505.0,7.2,272.0,92.378,1059.84375
Jogulamba(Gadwal),2018,High,-0.09249488191764332,8.52,2105.6,40.0,430.7977641,720,0.65,1.06296,136.0,714.8001947,5.9,32.0,4.862,99.99177632
Nalgonda,2019,High,-0.09123234030274918,9.1,1497.6,90.0,470.0,190,3.4,313.5732,41.25,439.5,4.8,48.0,19.448,199.9671053
Jagityal,2019,High,-0.08864507519302445,7.16,1941.76,0.0,370.0,670,0.64,29.19113636,381.0,523.0,47.0,152.0,53.482,599.9095395
Nalgonda,2018,High,-0.08425297050429659,9.0,1619.2,60.0,483.2437132,310,3.48,284.3418,41.0,483.7845573,4.7,24.0,38.896,219.9342105
Bhadradri,2019,High,-0.08116734330917186,8.11,2668.8,0.0,700.0,790,0.67,272.8264,34.0,532.4,18.8,48.0,189.618,899.6792763
Bhadradri,2020,High,-0.07381969759612272,8.17,2346.24,0.0,660.0,480,0.346,535.909,49.0,396.6,3.9,56.0,204.204,979.6546053
Bhadradri,2018,High,-0.06722459756036847,8.63,1843.2,60.0,500.1277753,480,0.73,210.3775,18.25,326.4744644,19.5,32.0,155.584,719.7368421
Jogulamba(Gadwal),2019,High,-0.06640538698856768,7.73,2901.76,0.0,550.0,800,0.84,168.21342,176.0,610.0,0.9,144.0,126.412,879.7861842
Jogulamba(Gadwal),2020,High,-0.06617505433625259,8.37,2234.24,20.0,800.0,570,1.23,114.2682,38.0,630.0,8.3,56.0,68.068,419.8848684
Mahabubnagar,2020,High,-0.06478048209990417,8.46,2143.36,30.0,490.0,690,0.83,181.589,65.0,413.0,2.3,40.0,184.756,859.6875
Yadadri,2020,High,-0.059043093210474296,7.42,2098.56,0.0,240.0,510,0.43,578.4274,59.0,295.2,6.8,328.0,34.034,959.9424342
Warangal (U),2019,High,-0.057136991890079036,7.67,1414.4,0.0,420.0,370,0.07,153.6057727,222.0,251.0,197.0,96.0,63.206,499.8930921
Jagityal,2019,High,-0.05495744031066241,7.28,1756.16,0.0,190.0,650,0.33,60.79809091,311.0,156.0,5.0,312.0,87.516,1139.851974
Nalgonda,2019,High,-0.05365125135706872,8.01,2035.2,0.0,360.0,570,1.35,369.3786,46.25,257.0,129.6,104.0,145.86,859.7532895
Sangareddy,2020,High,-0.051860518830993185,7.06,1952.0,0.0,360.0,550,0.428,427.61995,40.0,101.92,1.99,256.0,160.446,1299.728618
Khammam,2020,High,-0.050355452963142366,7.73,2164.48,0.0,100.0,780,0.2,471.6885,35.0,330.0,7.1,208.0,92.378,899.84375
Jogulamba(Gadwal),2018,High,-0.047438234303845306,8.4,1779.2,40.0,664.1472968,370,0.719,134.6416,40.0,568.3305615,6.6,24.0,24.31,159.9588816
Nalgonda,2020,Moderate,-0.04733830646304271,8.11,1898.88,0.0,1070.0,240,2.82,13.10984,21.0,599.0,5.6,24.0,24.31,159.9588816
Nalgonda,2020,High,-0.04496746642463989,8.9,1232.0,30.0,690.0,90,3.83,188.2325,23.0,378.3,3.0,16.0,43.758,219.9259868
Vikarabad,2020,High,-0.04310124690674322,7.06,2046.08,0.0,290.0,770,0.36,185.1322,32.0,209.0,63.0,208.0,126.412,1039.786184
Jogulamba(Gadwal),2018,High,-0.04172969186139153,7.81,2163.2,0.0,575.9846386,570,0.88,154.5721,162.0,589.2740193,51.6,32.0,68.068,359.8848684
Kamareddy,2019,High,-0.03739901405267132,7.24,1587.2,0.0,290.0,390,1.53,393.7381,37.5,29.37,5.4,128.0,213.928,1199.638158
Bhadradri,2019,High,-0.03673918746195526,8.13,1843.2,0.0,520.0,390,0.55,417.6547,20.0,230.0,12.6,24.0,209.066,919.6463816
Nagarkurnool,2020,High,-0.03467613262365177,7.4,1936.64,0.0,390.0,540,0.88,416.326,41.0,288.0,4.0,24.0,204.204,899.6546053
Warangal (U),2020,High,-0.03268129732631364,8.3,1394.56,30.0,400.0,360,4.88,118.5764091,38.25,302.0,12.0,88.0,53.482,439.9095395
Warangal (U),2018,High,-0.030109282694861572,7.69,1481.6,0.0,320.0,340,0.1,134.8831818,233.0,256.0,102.0,112.0,43.758,459.9259868
Bhadradri,2018,High,-0.02944594747367013,8.0,1612.8,0.0,240.9818024,280,0.63,735.214,18.0,235.1246184,17.0,24.0,165.308,739.7203947
Nalgonda,2019,High,-0.027138510311206288,8.43,1120.0,70.0,500.0,170,4.1,70.4211,14.5,309.0,2.8,40.0,29.172,219.9506579
Sangareddy,2020,High,-0.027064500343480513,7.26,2009.6,0.0,570.0,530,0.647,189.38404,46.0,195.1,67.5,200.0,131.274,1039.777961
Nalgonda,2020,High,-0.026613004861320455,8.1,1331.2,0.0,820.0,110,6.22,58.9057,20.0,380.0,1.9,32.0,38.896,239.9342105
Narayanpet,2020,High,-0.023019423254250992,8.6,1582.08,50.0,400.0,490,0.92,46.0616,48.0,325.5,7.0,16.0,121.55,539.7944079
Rangareddy,2018,High,-0.022827358380034024,8.39,1243.52,40.0,324.8120526,340,4.77,101.867,34.0,257.3996798,1.4,32.0,82.654,419.8601974
Jogulamba(Gadwal),2019,High,-0.021135689462511986,8.08,1888.0,0.0,260.0,610,2.27,93.009,71.0,561.0,7.8,40.0,19.448,179.9671053
Suryapet,2019,High,-0.019948363496481436,8.42,1497.6,60.0,390.0,360,2.4,125.7836,55.0,380.4,4.0,72.0,29.172,299.9506579
Rangareddy,2020,High,-0.01797465314943303,7.3,1784.96,0.0,310.0,450,0.8,461.0,30.5,75.25,3.6,272.0,126.412,1199.786184
Medak,2019,High,-0.017744886088455925,7.08,1964.8,0.0,380.0,660,0.37,128.8839,43.0,185.0,0.9,360.0,43.758,1079.925987
Jogulamba(Gadwal),2018,High,-0.016972650856120097,8.24,2086.4,0.0,553.2378092,550,0.99,126.00505,176.0,409.5295499,12.7,80.0,131.274,739.7779605
Nagarkurnool,2019,High,-0.01565708128777077,6.82,1888.0,0.0,410.0,470,0.75,407.0251,43.0,115.0,3.77,312.0,82.654,1119.860197
Nalgonda,2018,High,-0.015418701646518596,7.29,1798.4,0.0,260.7374567,770,0.41,20.28482,27.0,98.93572639,3.28,264.0,131.274,1199.777961
Mahabubnagar,2019,High,-0.014355740089252889,7.92,2054.4,0.0,690.0,500,1.22,234.737,45.0,304.9,1.8,128.0,160.446,979.7286184
Mahabubabad,2018,High,-0.01423425588199867,8.31,829.44,60.0,510.0,30,3.76,6.844818182,56.0,141.0,2.0,40.0,68.068,379.8848684
Peddapally,2018,High,-0.012906576552570104,7.03,1087.36,0.0,120.0,190,4.43,1.811863636,180.0,136.0,1.0,40.0,43.758,279.9259868
Peddapally,2020,High,-0.012325599597636572,8.42,1003.52,90.0,320.0,240,2.24,7.448772727,64.25,268.0,16.0,64.0,19.448,239.9671053
Warangal (R),2019,High,-0.011733292399489503,8.17,1565.44,0.0,580.0,400,1.77,11.27381818,139.0,144.0,21.0,176.0,136.136,999.7697368
Khammam,2020,High,-0.011722310203213349,8.07,1857.92,0.0,270.0,320,1.16,797.22,46.0,238.7,8.1,96.0,155.584,879.7368421
Warangal (R),2019,High,-0.011327841293678587,8.07,1614.72,0.0,410.0,390,1.56,149.1767727,261.0,291.0,51.0,104.0,106.964,699.8190789
Mahabubabad,2018,High,-0.009120326163943315,8.33,701.44,30.0,200.0,50,4.24,70.46136364,171.0,103.0,1.0,16.0,68.068,319.8848684
Narayanpet,2018,High,-0.00861242666720774,7.9,2240.0,0.0,415.1882403,720,1.43,310.03,50.0,422.9361745,6.5,104.0,140.998,839.7615132
Jogulamba(Gadwal),2020,High,-0.008229690023018543,7.8,2128.0,0.0,420.0,580,1.16,335.7182,106.0,513.0,1.0,112.0,92.378,659.84375
Kamareddy,2020,Moderate,-0.0075196476144372415,7.95,1102.72,0.0,550.0,110,4.18,5.93486,138.0,345.0,1.8,16.0,29.172,159.9506579
Nalgonda,2018,High,-0.007499096756053314,7.49,1753.6,0.0,244.2159616,440,0.78,558.054,40.0,219.6721916,36.2,208.0,82.654,859.8601974
Kamareddy,2019,High,-0.007432013464715559,7.97,988.16,0.0,480.0,90,4.61,143.0567,31.25,36.0,1.4,24.0,155.584,699.7368421
Warangal (R),2019,High,-0.007002602104465017,8.31,838.4,40.0,220.0,190,1.05,120.7909091,152.0,191.0,49.0,72.0,34.034,319.9424342
Khammam,2019,High,-0.0040753295964108815,7.55,1996.8,0.0,420.0,500,1.52,420.755,34.0,212.0,7.5,192.0,150.722,1099.745066
Yadadri,2019,High,-0.004041258384701041,6.9,1542.4,0.0,770.0,250,1.05,88.58,120.0,157.0,3.6,184.0,126.412,979.7861842
Kamareddy,2018,High,-0.003364152882333382,8.21,1078.4,0.0,489.7614248,80,4.9,108.5105,138.25,279.7578626,2.2,40.0,34.034,239.9424342
Jogulamba(Gadwal),2019,High,-0.0030089347477587625,8.38,1290.24,20.0,770.0,130,2.62,20.94917,27.0,363.0,3.5,24.0,38.896,219.9342105
Sangareddy,2018,High,-0.0015733934311650266,7.58,1255.04,0.0,456.6510068,270,0.53,139.5135,20.0,136.6798124,213.7,72.0,58.344,419.9013158
Vikarabad,2018,Moderate,-0.00141520873642198,9.18,220.8,40.0,40.77897833,50,0.26,2.2145,17.0,43.88047755,14.74,8.0,9.724,59.98355263
Medak,2018,High,-0.0001762299951666435,7.45,1868.8,0.0,172.1695995,770,0.32,186.018,36.0,169.4580472,5.0,264.0,106.964,1099.819079
Adilabad,2018,High,-0.00011093156177377494,8.21,1485.44,0.0,300.0,340,2.56,128.8436364,280.0,298.0,5.0,56.0,92.378,519.84375
